sample_ind,sample
316,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.5266051897667279, lastActions=None, length=1.0, position=(-105.25465312052039, 2.9186832481873535), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, 0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='0W', lastActions=None, length=1.0, mode='smc', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Subscenario', velocity=(0.0, 0.0), webotsName='SUBSCENARIO', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-99.5, -44.83338048519781), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Wall', velocity=(0.0, 0.0), webotsName='WALL', webotsObject=None, webotsType=None, width=1.0), object3=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.6353149185674838, lastActions=None, length=1.0, position=(-104.26238667112905, -4.4764410235013), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, -0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
327,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.6530306817233351, lastActions=None, length=1.0, position=(-104.95499124184369, 2.9523713621327694), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, -0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='0W', lastActions=None, length=1.0, mode='smc', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Subscenario', velocity=(0.0, 0.0), webotsName='SUBSCENARIO', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-99.5, -33.203404549963544), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Wall', velocity=(0.0, 0.0), webotsName='WALL', webotsObject=None, webotsType=None, width=1.0), object3=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.4950623856332437, lastActions=None, length=1.0, position=(-105.3175853122029, -4.4180157892508), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, 0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
328,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.6086799647134133, lastActions=None, length=1.0, position=(-104.12462809613478, 5.42625496375403), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, -0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='0W', lastActions=None, length=1.0, mode='smc', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Subscenario', velocity=(0.0, 0.0), webotsName='SUBSCENARIO', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-99.5, -54.72218508896447), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Wall', velocity=(0.0, 0.0), webotsName='WALL', webotsObject=None, webotsType=None, width=1.0), object3=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.5493543215534007, lastActions=None, length=1.0, position=(-105.24534324321259, -6.7966689886937415), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, 0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
329,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.5740195758739866, lastActions=None, length=1.0, position=(-104.69686891218164, 3.309759348987424), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, -0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='0W', lastActions=None, length=1.0, mode='smc', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Subscenario', velocity=(0.0, 0.0), webotsName='SUBSCENARIO', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-99.5, -43.64544388327304), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Wall', velocity=(0.0, 0.0), webotsName='WALL', webotsObject=None, webotsType=None, width=1.0), object3=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.5597833583724832, lastActions=None, length=1.0, position=(-105.24882236279133, -5.819882998986387), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, 0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
330,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.5340039574275592, lastActions=None, length=1.0, position=(-105.30534376297898, 4.211093283530641), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, 0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='0W', lastActions=None, length=1.0, mode='smc', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Subscenario', velocity=(0.0, 0.0), webotsName='SUBSCENARIO', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-99.5, -55.991484268963106), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Wall', velocity=(0.0, 0.0), webotsName='WALL', webotsObject=None, webotsType=None, width=1.0), object3=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.5492390263558788, lastActions=None, length=1.0, position=(-105.73499265637426, -6.925439957809368), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, 0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
331,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.565595681496936, lastActions=None, length=1.0, position=(-104.31916895840743, 3.4302027434703937), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, 0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='0W', lastActions=None, length=1.0, mode='smc', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Subscenario', velocity=(0.0, 0.0), webotsName='SUBSCENARIO', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-110.5, -38.19804053703064), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Wall', velocity=(0.0, 0.0), webotsName='WALL', webotsObject=None, webotsType=None, width=1.0), object3=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.5862601321781564, lastActions=None, length=1.0, position=(-105.46680331292936, -5.260190923037242), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, -0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
332,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.5822078923071414, lastActions=None, length=1.0, position=(-105.50369233199801, 5.717199275180475), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, -0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='0W', lastActions=None, length=1.0, mode='smc', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Subscenario', velocity=(0.0, 0.0), webotsName='SUBSCENARIO', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-110.5, -39.15805737719326), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Wall', velocity=(0.0, 0.0), webotsName='WALL', webotsObject=None, webotsType=None, width=1.0), object3=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.5468623831194797, lastActions=None, length=1.0, position=(-104.83021206469665, -4.836887179796198), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, 0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
333,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.6034842993900373, lastActions=None, length=1.0, position=(-104.13435119584497, 3.0015500801000177), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, -0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='0W', lastActions=None, length=1.0, mode='smc', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Subscenario', velocity=(0.0, 0.0), webotsName='SUBSCENARIO', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-99.5, -56.65590822830534), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Wall', velocity=(0.0, 0.0), webotsName='WALL', webotsObject=None, webotsType=None, width=1.0), object3=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.636781971638751, lastActions=None, length=1.0, position=(-104.07649011171763, -4.690073456063033), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, -0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
334,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.6495240741107746, lastActions=None, length=1.0, position=(-104.02187434188802, 3.544426157064367), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, -0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='0W', lastActions=None, length=1.0, mode='smc', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Subscenario', velocity=(0.0, 0.0), webotsName='SUBSCENARIO', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-99.5, -52.89487100157178), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Wall', velocity=(0.0, 0.0), webotsName='WALL', webotsObject=None, webotsType=None, width=1.0), object3=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.4844605506179285, lastActions=None, length=1.0, position=(-105.1830816698076, -5.159473872608666), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, 0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
335,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.488680887550073, lastActions=None, length=1.0, position=(-104.46694926985967, 2.5514992089216806), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, 0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='0W', lastActions=None, length=1.0, mode='smc', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Subscenario', velocity=(0.0, 0.0), webotsName='SUBSCENARIO', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-99.5, -47.569052882537875), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Wall', velocity=(0.0, 0.0), webotsName='WALL', webotsObject=None, webotsType=None, width=1.0), object3=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.4849925414362017, lastActions=None, length=1.0, position=(-105.51501569485494, -3.6087843610033343), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, 0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
336,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.5565283816445346, lastActions=None, length=1.0, position=(-105.97225573519053, 6.170059105324556), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, 0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='0W', lastActions=None, length=1.0, mode='smc', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Subscenario', velocity=(0.0, 0.0), webotsName='SUBSCENARIO', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-110.5, -58.77361921541191), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Wall', velocity=(0.0, 0.0), webotsName='WALL', webotsObject=None, webotsType=None, width=1.0), object3=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.5370300013576805, lastActions=None, length=1.0, position=(-104.243225001237, -4.058524215695041), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, 0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
337,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.6106838125903256, lastActions=None, length=1.0, position=(-104.13878082425346, 2.922850346560237), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, -0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='0W', lastActions=None, length=1.0, mode='smc', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Subscenario', velocity=(0.0, 0.0), webotsName='SUBSCENARIO', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-110.5, -50.43075998891203), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Wall', velocity=(0.0, 0.0), webotsName='WALL', webotsObject=None, webotsType=None, width=1.0), object3=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.5520833009917934, lastActions=None, length=1.0, position=(-104.94727237337486, -4.721576899407083), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, 0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
338,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.6510769315869502, lastActions=None, length=1.0, position=(-104.07447014781462, 5.704460551848312), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, -0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='0W', lastActions=None, length=1.0, mode='smc', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Subscenario', velocity=(0.0, 0.0), webotsName='SUBSCENARIO', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-99.5, -33.63149626511968), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Wall', velocity=(0.0, 0.0), webotsName='WALL', webotsObject=None, webotsType=None, width=1.0), object3=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.6488477456793331, lastActions=None, length=1.0, position=(-105.58634245772885, -6.617357378770345), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, -0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
339,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.4982593407106506, lastActions=None, length=1.0, position=(-104.02450262141838, 2.7173125848718143), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, 0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='0W', lastActions=None, length=1.0, mode='smc', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Subscenario', velocity=(0.0, 0.0), webotsName='SUBSCENARIO', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-99.5, -41.9194329911615), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Wall', velocity=(0.0, 0.0), webotsName='WALL', webotsObject=None, webotsType=None, width=1.0), object3=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.581712598798565, lastActions=None, length=1.0, position=(-104.8462151617977, -4.262833976935308), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, -0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
340,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.5052299240909623, lastActions=None, length=1.0, position=(-104.19956268718595, 5.329942904469888), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, 0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='0W', lastActions=None, length=1.0, mode='smc', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Subscenario', velocity=(0.0, 0.0), webotsName='SUBSCENARIO', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-110.5, -48.99192581700498), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Wall', velocity=(0.0, 0.0), webotsName='WALL', webotsObject=None, webotsType=None, width=1.0), object3=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.578523253339662, lastActions=None, length=1.0, position=(-105.69532106513083, -5.66889435492528), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, -0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
341,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.6572235218313447, lastActions=None, length=1.0, position=(-105.21625942555637, 5.627205714336341), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, -0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='0W', lastActions=None, length=1.0, mode='smc', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Subscenario', velocity=(0.0, 0.0), webotsName='SUBSCENARIO', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-110.5, -33.62027038917104), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Wall', velocity=(0.0, 0.0), webotsName='WALL', webotsObject=None, webotsType=None, width=1.0), object3=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.5073522970915088, lastActions=None, length=1.0, position=(-104.18216466455218, -6.990177397794625), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, 0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
342,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.6519026497744644, lastActions=None, length=1.0, position=(-105.3548069639746, 3.3874770297391046), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, -0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='0W', lastActions=None, length=1.0, mode='smc', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Subscenario', velocity=(0.0, 0.0), webotsName='SUBSCENARIO', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-110.5, -52.39293230876763), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Wall', velocity=(0.0, 0.0), webotsName='WALL', webotsObject=None, webotsType=None, width=1.0), object3=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.5409538798930298, lastActions=None, length=1.0, position=(-105.37601017281352, -5.877963395246294), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, 0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
343,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.5641031874006028, lastActions=None, length=1.0, position=(-105.32081649772857, 2.580569095941937), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, 0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='0W', lastActions=None, length=1.0, mode='smc', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Subscenario', velocity=(0.0, 0.0), webotsName='SUBSCENARIO', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-99.5, -32.882631104430814), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Wall', velocity=(0.0, 0.0), webotsName='WALL', webotsObject=None, webotsType=None, width=1.0), object3=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.5424678598866768, lastActions=None, length=1.0, position=(-104.51179620008342, -6.921418430105652), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, 0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
344,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.5757636583253132, lastActions=None, length=1.0, position=(-104.71618527884779, 4.254391822078575), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, -0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='0W', lastActions=None, length=1.0, mode='smc', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Subscenario', velocity=(0.0, 0.0), webotsName='SUBSCENARIO', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-99.5, -53.1257838622004), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Wall', velocity=(0.0, 0.0), webotsName='WALL', webotsObject=None, webotsType=None, width=1.0), object3=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.6468343064537976, lastActions=None, length=1.0, position=(-104.18658863066248, -7.031976573275153), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, -0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
345,SpacePoint(objects=StructPoint(object0=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.6428600570936764, lastActions=None, length=1.0, position=(-104.28943766572347, 4.183258136423045), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Follower', velocity=(0.0, -0.0), webotsName='FOLLOWER', webotsObject=None, webotsType=None, width=1.0), object1=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, ind='0W', lastActions=None, length=1.0, mode='smc', position=(0, 0), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Subscenario', velocity=(0.0, 0.0), webotsName='SUBSCENARIO', webotsObject=None, webotsType=None, width=1.0), object2=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=0.0, lastActions=None, length=1.0, position=(-99.5, -48.97838471093759), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Wall', velocity=(0.0, 0.0), webotsName='WALL', webotsObject=None, webotsType=None, width=1.0), object3=StructPoint(angularSpeed=0.0, controller=None, elevation=None, heading=-1.646826808750508, lastActions=None, length=1.0, position=(-104.17872503037238, -6.137732939594832), positionOffset=(0.0, 0.0), resetController=True, rotationOffset=0.0, speed=0.0, type='Lead', velocity=(0.0, -0.0), webotsName='LEAD', webotsObject=None, webotsType=None, width=1.0)), params=StructPoint())
